h,T
-7317.217897,12598245.6
-16340.63899,2486052.658
-7275.555471,7107391.2
-19568.77785,33366712.14
-11097.82571,20627904.05
-16533.95888,9006878.454
-14427.36153,43420809.89
-13952.14875,17270715.16
-6584.997461,34813095.67
-15520.43825,40139391.89
-23654.29742,686561.6846
-17257.83519,41074262.04
-20905.3818,717332.4513
-9290.640388,35976947.6
-47.90337702,30986102.42
-24492.06763,10108089.63
-7785.715019,7187075.852
-24812.14911,15872305.71
-11372.37967,1940458.685
-563.8991445,17287394.68
-4572.072312,11487068.02
-8554.979819,15682985.19
-24387.41108,41256754.89
-1915.157401,25722057.11
-13736.86033,35089859.56
-25013.66851,37755800.46
-30238.83389,31507914.78
-4279.683144,7562692.187
-21559.40904,2096146.465
-7554.478105,6933870.23
-9442.738447,44589099.59
-19884.86637,24848059.78
-152.9192162,38602121.75
-16722.25488,41388527.53
-3046.162401,7159689.824
-9241.305879,5323765.131
-17392.72824,10584075.12
-16261.5467,34150399.11
-20525.15006,7220167.651
-9877.86107,6619668.2
-4521.973091,8096121.376
-31850.89374,6975689.693
-12794.06271,36630371.43
-6706.757588,27397226.98
-31709.92538,28750086.61
-23714.72103,32982267.56
-25971.55259,34901336.99
-15184.24573,4090669.111
-29443.00438,34338237.99
-19440.74341,26767511.47
-28478.58548,33477427.7
-27084.05683,23402364.5
-9270.462244,979265.7894
-10817.04514,13941741.37
-227.4612149,39555187.55
-23698.45265,15050829.05
-16873.31441,35514295.68
-2397.01486,38909655.34
-13995.92539,44786336.7
-10742.19267,29978508.98
-21528.79585,44733210.79
-8006.860656,26616320.06
-15385.13651,39015054.7
-13652.79427,17568086.03
-27875.63569,23017977.22
-4505.991102,42062186.05
-21771.07767,30800177.37
-2772.608017,37196453.32
-3287.564215,14134167.45
-31802.07403,32664956.84
-31511.85585,27140448.83
-28932.19862,26262452.14
-3701.137553,36399310.04
-23245.2641,39997689.42
-24365.71958,7666679.972
-3812.706264,39953839.22
-13005.60274,47745861.24
-4692.867221,12141920.37
-30866.48061,4683189.519
-7532.877022,41705224.91
-6497.207221,595740.0523
-10043.90526,27585869.81
-9045.065973,47686481.11
-12204.98828,6033611.352
-24269.32546,28240793.1
-4723.148794,29757064.15
-11210.8706,13694047.18
-22618.66932,31803252.05
-27485.00515,25733096.49
-16189.52704,32574077.86
-28537.97619,7266399.291
-12077.93206,5267372.437
-18379.86116,42277916.61
-14143.57098,17939132.35
-20404.52188,4039924.954
-17544.66481,3720877.13
-24585.30607,30302555.86
-18888.58721,47019675.61
-16198.66364,2418615.258
-8738.392376,6852144.634
-20884.07893,1469644.972
-17646.39275,28039986.47
-25186.74739,28207898.55
-18342.5835,22531813.44
-5523.760445,16528542.91
-28804.70961,30392234.76
-14263.73067,44395585.7
-6243.346195,10423179.16
-9982.370795,46383879.12
-25260.40318,5542479.663
-28831.23631,40370504.02
-18930.69339,38719783.81
-407.7662582,8300761.42
-1671.673154,35981184.73
-677.2252261,19409991.2
-13289.0641,10275769.24
-4437.277468,43005722.59
-15499.34309,25152563.22
-1895.489102,6945556.071
-29624.42756,7980634.78
-30187.99337,15490532.2
-3279.182969,34645216.25
-6148.375654,2809551.622
-7899.729603,18041085.48
-9762.716025,1829044.484
-19690.85084,11141697.04
-18834.45743,47334866.31
-16977.35988,923047.1303
-17754.48238,39081406.08
-29886.58355,3830251.312
-15601.30461,31649824.6
-12243.75148,44579204.76
-15873.97204,33506392.22
-7780.099748,13812733.65
-2830.762759,41820975.35
-15554.42854,1592368.9
-21180.21179,32609567.31
-20980.57816,15195201.88
-3058.3166,13454522.41
-8182.673117,13964730.34
-10120.87408,7322037.459
-20128.53104,5844195.243
-22262.91831,3524281.73
-11488.905,42591829.53
-5637.380417,15138556.31
-15407.64994,35032578.01
-26325.00352,22701902.49
-4332.892695,38372611.34
-6748.520927,1274899.607
-14051.38478,9969353.609
-21405.07783,25651443.48
-497.7605031,11931153.89
-31217.92365,21876621.57
-18739.37157,29987126.25
-31060.08418,23037658.39
-4615.228562,35883542.89
-26692.57847,3788105.287
-16938.19532,46212260.68
-27581.55826,22218318.1
-17223.4252,37396431.68
-16282.42804,11089885.6
-28246.54612,32095288.39
-31090.13273,24027241.51
-25195.99018,27574354.83
-8401.829829,28196085.27
-26963.47717,46066667.87
-549.8520512,33632754.64
-27376.80064,23184972.89
-1850.035599,31016588.4
-22211.89132,23479999.53
-18547.45522,31203434.55
-28455.79997,22962104.66
-20932.74059,32310694.37
-25112.634,2164969.465
-15236.60173,43671334.27
-6057.279775,31597332.79
-11336.22618,26239768.82
-1406.709597,30136517.66
-1825.919311,5481854.224
-16611.27097,7851880.889
-7065.908911,31440853.15
-24404.08065,6481546.195
-2126.101234,34609354.08
-14021.1558,30594578.42
-2214.319695,45246509.26
-16468.10417,5748870.967
-17551.34023,45278827.48
-659.8749876,5109865.417
-20110.89492,23615529.86
-17856.02811,10932317.84
-31032.44072,36265212.28
-24691.42912,16790664
-13184.64372,21809354.4
-7638.397592,26834461.84
-20438.08087,16538563.83
-17908.25265,9072330.739
-23432.09212,47495318.15
-7805.638044,31140623.81
-13922.84562,20513453.82
-9365.578004,11950889.06
-3822.070518,20971186.4
-22957.77958,82788.57333
-3295.502425,19546132.4
-9404.919493,40625395.52
-3476.463034,44907634.11
-19923.59229,15759017.31
-31841.72649,16630128.1
-27908.5917,6890241.862
-4699.869413,43483482.16
-11434.72275,37980580.72
-18599.82409,1567223.455
-5404.111424,14642228.79
-19803.54976,38682088.75
-22610.8494,29432744.1
-709.7816015,25273590.43
-24467.41315,9702351.866
-10096.81752,23834971.54
-10722.14241,24448733.33
-7043.471182,25755828.96
-16139.31579,14840422.26
-8077.890963,18599184.97
-20913.09869,41631103.61
-26884.32979,25904434.3
-18230.56625,2568935.978
-19056.3036,9218092.539
-24560.70675,32127551.51
-25750.44998,6579106.408
-16969.86019,45549052.62
-31580.25304,12265349
-5874.022883,6422682.745
-29240.68805,19739424.29
-21898.75842,25676592.33
-12095.58908,30621715.73
-17914.08725,43248330.21
-12970.58979,30327464.66
-11203.87815,3560594.87
-2465.642945,41726510.31
-12673.885,15224068.41
-16560.7923,17499037.14
-26213.98494,35207360.03
-30089.06078,3164334.76
-30286.97281,34201181.52
-19700.80193,34777094.55
-26893.62291,34133030.32
-28180.40059,11418761.34
-18006.8875,6865205.85
-18721.44272,32826272.85
-2576.580647,8365946.648
-28109.12534,2753681.19
-28102.69628,40539571.03
-16679.59584,8956300.367
-5345.295449,4685224.739
-14598.97318,3300359.281
-23152.75286,27046075.55
-26106.34511,35926855.57
-4485.079415,12418105.89
-26737.69526,42029997.67
-17135.07454,16040758.53
-17411.64524,28552880.02
-24021.17524,18379300.77
-6428.989092,10321515.17
-21729.55555,10487659.14
-6590.05054,44204238.05
-27233.3895,627083.9492
-696.2920135,18156344.98
-20092.8079,38085167.68
-21115.31541,47245771.16
-28060.86707,40314324.21
-6421.001913,29915197.86
-9619.019313,26201880.45
-13605.95549,4020874.088
-27048.04684,11477923.18
-5296.369194,42465024.92
-29948.89302,23732712.53
-13029.32097,3349445.232
-27837.50552,43547565.3
-2458.11443,11814517.06
-25867.16741,31397295.19
-21493.16254,37364783.25
-13488.18183,147374.8031
-8296.280387,43647915.89
-18054.91412,35321310.68
-14637.57379,19989316.01
-9673.219462,21764610.78
-20848.66952,16227453.66
-23753.20183,34807887.08
-3447.23116,41406339.87
-15773.8012,23548980.82
-27192.25691,36866897.75
-14430.00318,19020711.59
-29472.61833,39000833.99
-23421.04579,4087476.772
-31799.49147,37129648.3
-25407.16831,10565431.65
-15130.22096,35162578.45
-12083.10409,12947115.03
-9628.981863,31725651.06
-27987.21676,2368157.074
-8783.56545,17766835.89
-14130.62264,42202655.85
-18450.4026,7929713.576
-4634.699525,23745758.99
-7683.450724,11210834.57
-10329.43662,7485312.296
-15465.34654,16667956.07
-4486.511428,39625254.01
-16617.9244,11684239.49
-10495.31286,46135866.53
-9573.543295,45150929.06
-26319.60132,8536166.494
-4069.235241,16099272.96
-865.5737224,3445615.81
-20200.13934,21969751.7
-24164.01553,2241930.837
-4782.397632,12970006.76
-17566.50523,7597593.876
-30287.80876,45518328.5
-26890.10625,23546183.69
-11283.56048,22490559.32
-29496.99173,38965367.08
-3657.371138,7119756.237
-22340.33629,22103087.4
-2512.655955,15435960.75
-5528.228605,4668391.571
-306.1539063,41518507.47
-5514.141956,20198822.07
-26659.701,481337.4168
-27159.87063,12995564.54
-31711.63481,9786584.813
-2661.234758,3248565.096
-15835.35622,42164312.65
-25989.17513,32970861.12
-5037.102041,40598190.91
-17319.27084,4183496.353
-9012.991254,10628589.05
-28577.89166,35069464.57
-10543.7721,12286262.89
-30097.71388,28050237.28
-29712.50492,43136393.91
-31252.4054,16235400.51
-4717.762434,22474290.36
-393.4000366,29088557.57
-17283.21296,7180294.174
-10770.5776,11343602.1
-26996.94842,44819623.62
-5430.826606,17704719.47
-25511.12439,40916026.18
-31609.87787,9196675.331
-9259.157182,13868687.96
-24702.87138,11056943.51
-23835.93237,6165350.067
-9922.790939,25807563.29
-18698.40139,19566505.81
-31516.31948,34114936.76
-28855.56967,20617792.99
-17931.66638,42986677.32
-25712.00017,6809763.836
-24935.25878,48235.90553
-14692.90831,167272.386
-11194.19356,23931248.13
-3884.594424,11464143.47
-21288.46124,42420225.91
-29920.8736,38777067.6
-11409.43935,10471580.61
-25672.0837,45172664.06
-7174.303903,37774226.82
-4708.87602,34692655.55
-10609.26969,39714546.22
-14337.18255,5242717.791
-7768.699328,43971098.18
-3992.780211,1003869.779
-5060.926739,17847814.03
-2428.591968,37933179.8
-24825.21629,35702632.99
-924.1306903,39180172.99
-7933.309667,36220365.68
-26522.33134,2272010.843
-14732.20475,26066684.73
-24041.3323,5727945.31
-14303.80006,4443756.506
-15547.38401,11319304.36
-10066.13812,2660110.471
-7876.339978,24087451.22
-23526.65892,17426055.74
-17594.93039,22149895.76
-7840.943134,37162389.58
-22888.10188,40835520.78
-8849.887164,46348334.44
-1599.382615,40578895.4
-26528.83388,5594849.09
-17639.62278,26168511.25
-6143.31829,43175831.98
-750.8413497,7607570.422
-17494.09863,25108079.93
-29941.1867,7795578.079
-7235.717151,18119457.02
-21473.26411,23769891.11
-893.8597679,21325152.88
-10844.22675,40309686.27
-28597.7951,46727154.99
-950.3908374,35853258.56
-20246.7373,18169575.75
-25292.25704,15232216.92
-14558.70844,28069664.29
-5951.112093,15199980.06
-2039.980078,14878137.67
-23578.28468,40258058.01
-1589.031602,37742654.74
-4496.754942,37651549.98
-21099.19707,36252499.43
-9970.867136,39121645.87
-30176.0351,3782.2148
-1252.224756,5951086.173
-9031.432782,29689164.63
-11056.88369,34714913.35
-5705.397044,27415183.42
-9082.499297,45307520.15
-732.5328468,17259502.72
-27450.49969,19397927.86
-25171.97492,34385966.26
-12403.44088,17369464.24
-11943.36823,47532703.11
-5740.278902,17402818.09
-26488.91415,13993393.96
-20869.76105,47380239.81
-20232.46406,18914416.57
-28621.34731,3631131.035
-6000.044125,40464639.18
-2139.867818,35803802.03
-24809.72426,4444865.284
-13320.2892,16675945.43
-20699.47947,15081965.55
-23732.95971,32789208.01
-30467.26571,40063509.07
-20104.96605,32874066.78
-28340.52503,10693366.06
-10977.00767,10136503.18
-10258.44587,2851387.079
-881.9240297,18843292.76
-15215.07981,1615264.215
-13677.54588,39263880.16
-16114.30687,24534720.73
-11619.11634,8172120.457
-666.8159903,41337937.03
-7078.651008,38626352.79
-30767.30306,32245508.15
-30391.43671,47845436.7
-16656.44086,7229326.037
-17405.47895,39149882.28
-4018.999367,8657327.65
-12305.8807,39284376.33
-20358.89137,2467411.914
-2611.129283,20655489.39
-25551.40656,29574015.34
-31748.73829,44286936.64
-21716.59626,33843032.41
-26363.29651,39731774.51
-13395.36223,20019135.18
-22503.05776,887494.2982
-22028.53324,41423264.1
-20073.91295,45836239.99
-23170.33989,11977496.42
-3887.326342,14659748.26
-21792.33023,29284304.83
-7364.380716,2284304.499
-19573.42176,20536422.78
-27920.79662,35753367.01
-14345.77189,37106288.14
-3238.067374,2918327.277
-12668.44044,26355633.59
-22050.07189,4027980.052
-9747.788527,39857492.27
-14838.53341,45527033.23
-9549.176077,33377097.66
-9846.482315,46919687.88
-17588.73303,21631951.17
-9652.531046,19028081.77
-2189.171117,19097697.65
-10403.8311,29749483.67
-4175.799073,13683169.84
-24527.45281,12167337.57
-2237.179025,35434923.85
-11890.60883,29004527.97
-10780.66901,16759112.81
-27436.68758,4539512.927
-14444.60298,5661590.194
-9139.270541,23073092.41
-2965.757402,41893889.97
-29594.60025,6281092.84
-13234.41435,39166956.36
-25617.72379,17801638.22
-11743.20653,13232117.1
-11648.31716,31431347.58
-31466.89601,2128460.292
-24948.48795,16128303.67
-12975.10581,22526048.55
-1756.155963,39377782.94
-12760.23539,35229503.17
-15568.91745,14590915.36
-13623.92371,3396941.259
-21679.53423,37334119.75
-6739.863555,5074457.121
-5919.198429,36128417.67
-14818.32399,40285862.19
-31285.03021,47945073.02
-8549.620105,42894690.64
-12457.41662,27765033.2
-5853.503943,36942596.07
-9676.331539,45186581.99
-23418.75828,35560028.55
-24742.9482,47033652.96
-8276.610988,6650050.142
-10168.36214,6739975.227
-5034.784164,5937391.319
-15559.2871,20932595.58
-17974.51947,23685922.3
-29990.58616,43686312.59
-4220.585222,42543099.59
-28146.31818,26484409.4
-28901.50314,23783355.89
-19658.37492,44005281.1
-4353.165796,31554279.73
-19091.73246,40347924.8
-15651.62083,9107486.474
-21544.70659,32154413.19
-8650.333017,45005226.39
-17205.84525,29167385.09
-15950.81193,14886527.31
-23150.77669,13775802.98
-10949.2194,41604795.06
-13347.77468,45061367.79
-20135.55072,16550732.12
-3372.454666,25774766.73
-10089.59832,14968440.33
-28184.90948,21338242.92
-12938.7977,2011918.492
-17832.08379,43457918.67
-17883.8201,29363151.39
-27045.0215,33833093.05
-15331.41164,9527744.858
-18865.29248,20544644.42
-10430.53389,21881796.16
-7243.853794,16923049.41
-3781.040363,1963053.764
-1950.027201,40358551.33
-22495.25826,20333682.69
-19152.65163,36460070.63
-31113.70419,45421847.1
-1817.308282,9998539.392
-9564.77978,1667021.97
-19922.13131,13216582.39
-29271.92207,39669814.1
-274.4654628,31757996.04
-28885.86373,47028724.52
-396.3778957,24808080.93
-25788.33734,16064522.99
-17700.69947,17920072.62
-436.380402,11719188.53
-5645.835168,47227825.32
-12315.02269,42597884.72
-22316.164,46830441.88
-8290.989272,19726356.75
-10659.77662,14726661.39
-28391.55259,6913756.261
-27975.5097,4727000.282
-15448.01507,45617821.03
-18395.69694,42013409.09
-18823.32629,43354757.01
-29833.13222,39835214.53
-27847.27725,28093359.85
-29511.51198,30941670.82
-1780.091718,14794106.45
-4852.658024,1899957.036
-5315.079348,5064172.133
-19149.58182,11063467.28
-7467.347784,24409004.04
-16821.67571,30420639.76
-4816.976813,33319087.11
-26432.28304,2031828.788
-4995.139493,40006273.24
-10839.14159,20253488.29
-24752.9827,35536552.67
-2173.080183,28112642.19
-446.2982086,26893053.85
-3878.306471,47828283.55
-5583.240466,32472831.59
-20687.88422,822473.0931
-12277.74052,16463531.49
-22704.36912,16595876.13
-16844.5285,44045167.86
-1992.840588,27953959.41
-10633.0232,23891306.27
-4038.140972,22549866.08
-15472.44688,14055075.77
-4325.011456,45494117.31
-28871.21469,26641236.28
-6874.55845,47361678.04
-17060.76315,964002.1318
-1277.790695,19007555.33
-29054.02333,21367366.12
-31789.2791,24184926.41
-24395.49256,36506415.39
-6416.986966,18793189.08
-15033.01515,44942025.94
-17266.93965,318594.7866
-21861.88368,23219528.47
-8802.455726,441857.3718
-6351.29562,21138704.17
-22434.5804,227425.4495
-5995.769621,6123661.462
-17271.58986,44753183.09
-6764.030109,30545820
-30824.06143,36035430.86
-8882.781812,12922294.55
-6708.49594,35265657.55
-24238.02723,33680751.23
-31484.16537,2005409.176
-18555.43659,35138530.31
-13865.95898,24693322.55
-10667.43077,20858912.98
-1147.019007,47992864.69
-29972.93554,19717252.18
-29486.71651,22381441.26
-10560.76531,22314267.38
-30081.62435,43462950.05
-26494.69768,34364318.54
-23352.08354,37004835.98
-3099.399984,24098815.95
-23535.8336,17676300.86
-22515.45546,16706071.82
-20765.62505,16265851.71
-18743.00644,7785740.281
-24396.98659,910420.63
-11832.84454,40752785.06
-22084.15915,23023889.93
-24424.86267,2465696.995
-5762.914395,33039997.07
-20990.74352,26784941.77
-13766.74731,43338789.98
-1475.722464,22334624.9
-4596.253459,8235902.876
-12787.21943,30245283.08
-8135.327001,30808102.01
-18367.50562,44511456.3
-18903.32808,41237946.12
-6478.087294,9430760.712
-1645.548504,27557537.43
-28994.82414,3536469.092
-17398.8116,20884636.05
-2505.146208,38661103.31
-8025.875254,34551408.87
-29370.53418,4770458.965
-4762.150685,39862719.62
-24484.69516,16842926.95
-15093.74672,42081794.84
-18146.05615,16881487.57
-4644.635666,46530497.64
-20971.36663,31970897.82
-29086.5597,28275982.17
-11625.41526,32291387.52
-24820.40923,4513676.796
-15484.37478,36853249.43
-31666.18879,8198718.058
-26593.35459,31164019.47
-20333.74663,4849186.415
-11949.12351,21664764.13
-24267.33038,43263871.24
-17186.71766,9548090.681
-28256.23221,1909352.358
-21430.94518,31477608.03
-11764.44344,5572419.569
-6769.946027,881379.805
-21265.56355,9411924.307
-7410.048243,39227685.7
-20878.83803,3712447.958
-30674.1763,125913.7763
-23132.33885,31625549.42
-24719.63791,18563935.25
-31848.2238,14339919.93
-10511.53918,32993920.87
-19887.16502,12588710.46
-31573.06835,30023195.13
-12042.25072,33210013.42
-20313.6561,23699682.02
-12378.88932,11196183.05
-1417.761893,47304462.57
-30267.72951,41585041.68
-18030.76142,22388835.77
-2357.937134,14019295.65
-8501.009614,24118926.84
-14470.81178,8338247.724
-30227.32985,42052548
-8168.256404,14815836.3
-26930.79889,27760701.75
-25091.56143,21211332.13
-28395.55486,2526464.996
-14242.74673,27856757.07
-8590.106208,15933227.41
-28173.1738,45541581.74
-22174.02715,13173556.21
-10187.97686,8631426.097
-18954.42306,23509082.81
-25094.94884,19337731.34
-16502.03073,11802756.36
-2481.749701,47854286.41
-3964.763569,12566473.65
-31430.39072,22859050.68
-21912.73561,23307900.15
-22594.1501,37801778.45
-29857.3681,661058.9819
-907.635187,21354214.1
-12286.54433,24879851.74
-13961.81259,30640355.69
-18214.58617,28575745.18
-29804.98225,42578900.82
-4795.01595,16763313.62
-21480.23103,42861843.23
-22453.50911,7329941.293
-21706.77373,46237565.88
-22378.46798,43922454.9
-29450.65236,32841575.53
-4021.852363,12410358.56
-21247.27422,29250437.65
-11592.76973,47174819.53
-28447.51929,28918951.79
-30707.47428,43651250.64
-7343.730639,29352930.22
-29352.85677,2431390.566
-29217.11169,723731.8812
-29417.90251,38616936.29
-6133.605169,7444612.129
-10640.11791,42573841.58
